2024-05-15 00:23:17.385 [main] INFO  c.e.l.LibraryManagementSystemApplication - Starting LibraryManagementSystemApplication using Java 18.0.1.1 with PID 2644 (C:\Users\Hassona\IdeaProjects\LibraryManagementSystem\target\classes started by Hassona in C:\Users\Hassona\IdeaProjects\LibraryManagementSystem)
2024-05-15 00:23:19.961 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-05-15 00:23:20.272 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-15 00:23:20.308 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-05-15 00:23:20.622 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@2e0163cb
2024-05-15 00:23:20.625 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-05-15 00:23:20.687 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-05-15 00:23:21.927 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-15 00:23:22.249 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-15 00:23:23.364 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-05-15 00:23:23.722 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 8e3c6fe3-13e2-4b18-be2b-adb78117e122

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2024-05-15 00:23:23.906 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2eb27091, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@561b4c61, org.springframework.security.web.context.SecurityContextHolderFilter@20dfe8b2, org.springframework.security.web.csrf.CsrfFilter@3fe33c59, org.springframework.security.web.authentication.logout.LogoutFilter@f53db1a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6d8cbd1a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3725242e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@313c3cb, org.springframework.security.web.access.ExceptionTranslationFilter@53d94a6b, org.springframework.security.web.access.intercept.AuthorizationFilter@335cd031]
2024-05-15 00:23:25.571 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-05-15 00:23:25.583 [main] INFO  c.e.l.LibraryManagementSystemApplication - Started LibraryManagementSystemApplication in 8.673 seconds (process running for 9.755)
2024-05-15 00:24:22.705 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-15 00:24:22.706 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-05-15 00:24:22.709 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2024-05-15 00:24:22.886 [http-nio-8080-exec-2] INFO  c.e.l.logging.LoggingAspect - Method 'addBook' in class 'com.example.librarymanagementsystem.service.BookService' is called. Arguments: [Book(id=null, title=Sample Book2, author=John Doe, publicationYear=2022, isbn=132-1123212387, borrowed=false)]
2024-05-15 00:24:22.977 [http-nio-8080-exec-2] INFO  c.e.l.logging.LoggingAspect - Value retrieved from database.
2024-05-15 00:24:22.977 [http-nio-8080-exec-2] INFO  c.e.l.logging.LoggingAspect - Method 'addBook' executed in 95 ms
2024-05-15 00:24:26.804 [http-nio-8080-exec-3] INFO  c.e.l.logging.LoggingAspect - Method 'getBookById' in class 'com.example.librarymanagementsystem.service.BookService' is called. Arguments: [1]
2024-05-15 00:24:26.872 [http-nio-8080-exec-3] INFO  c.e.l.logging.LoggingAspect - Value retrieved from cache.
2024-05-15 00:24:26.872 [http-nio-8080-exec-3] INFO  c.e.l.logging.LoggingAspect - Method 'getBookById' executed in 68 ms
2024-05-15 00:24:30.065 [http-nio-8080-exec-4] INFO  c.e.l.logging.LoggingAspect - Method 'updateBook' in class 'com.example.librarymanagementsystem.service.BookService' is called. Arguments: [1, Book(id=null, title=hassan, author=John Doe, publicationYear=2022, isbn=132-1123212387, borrowed=false)]
2024-05-15 00:24:30.118 [http-nio-8080-exec-4] INFO  c.e.l.logging.LoggingAspect - Value retrieved from database.
2024-05-15 00:24:30.118 [http-nio-8080-exec-4] INFO  c.e.l.logging.LoggingAspect - Method 'updateBook' executed in 53 ms
2024-05-15 00:27:01.902 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-05-15 00:27:01.904 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-05-15 00:27:01.911 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
